Dependency Name,Version,Link,Description
@ant-design/cssinjs,1.16.2,"https://www.npmjs.com/package/@ant-design/cssinjs","CSS-in-JS solution for Ant Design components."
@babel/core,7.22.10,"https://www.npmjs.com/package/@babel/core","Babel compiler core."
@babel/preset-env,7.22.10,"https://www.npmjs.com/package/@babel/preset-env","Babel preset for transforming JavaScript for specific environments."
@babel/preset-react,7.22.5,"https://www.npmjs.com/package/@babel/preset-react","Babel preset for React applications."
@emotion/react,11.11.1,"https://www.npmjs.com/package/@emotion/react","Emotion is a popular CSS-in-JS library."
@emotion/styled,11.11.0,"https://www.npmjs.com/package/@emotion/styled","Emotion Styled is a styling library for Emotion."
@mui/icons-material,5.14.3,"https://www.npmjs.com/package/@mui/icons-material","Material-UI icons library."
@mui/material,5.14.5,"https://www.npmjs.com/package/@mui/material","MUI (formerly Material-UI) is a popular React UI framework."
@mui/x-date-pickers,6.11.1,"https://www.npmjs.com/package/@mui/x-date-pickers","Material-UI X Date Pickers for MUI."
antd,5.8.3,"https://www.npmjs.com/package/antd","Ant Design is a comprehensive UI design language and framework."
axios,1.4.0,"https://www.npmjs.com/package/axios","Axios is a promise-based HTTP client for the browser and Node.js."
babel-plugin-import,1.13.8,"https://www.npmjs.com/package/babel-plugin-import","Babel plugin for importing components on demand from Ant Design and Material-UI."
crypto-js,4.1.1,"https://www.npmjs.com/package/crypto-js","Crypto-JS is a library for cryptographic functions in JavaScript."
dayjs,1.11.9,"https://www.npmjs.com/package/dayjs","Day.js is a fast, immutable, and internationalizing date library."
formik,2.4.3,"https://www.npmjs.com/package/formik","Formik is a popular library for managing forms in React applications."
history,5.3.0,"https://www.npmjs.com/package/history","History is a JavaScript library that manages session history and provides utilities for managing navigation in a web application."
jwt-decode,3.1.2,"https://www.npmjs.com/package/jwt-decode","jwt-decode is a library for decoding JWT tokens."
moment,2.29.4,"https://www.npmjs.com/package/moment","Moment.js is a popular date and time manipulation library."
papaparse,5.4.1,"https://www.npmjs.com/package/papaparse","PapaParse is a fast in-browser CSV (or delimited text) parser library."
react-dom,18.2.0,"https://www.npmjs.com/package/react-dom","React DOM is the entry point to the DOM-specific methods in React."
react-redux,8.1.2,"https://www.npmjs.com/package/react-redux","React Redux is the official state management library for React."
react-router-dom,6.15.0,"https://www.npmjs.com/package/react-router-dom","React Router is a library for routing in React applications."
react-scripts,5.0.1,"https://www.npmjs.com/package/react-scripts","React Scripts is a set of scripts for creating React applications."
react,18.2.0,"https://www.npmjs.com/package/react","React is a JavaScript library for building user interfaces."
redux-persist,6.0.0,"https://www.npmjs.com/package/redux-persist","Redux Persist is a library for persisting Redux store in React Native or web apps."
redux,4.2.1,"https://www.npmjs.com/package/redux","Redux is a predictable state container for JavaScript apps."
yup,1.2.0,"https://www.npmjs.com/package/yup","Yup is a library for schema validation."
